Protein Id	Gene Symbol	DMSO_R1	DMSO_R2	DMSO_R3	DMSO_R4	Erl_R1	Erl_R2	Erl_R3	Erl_R4	Lap_R1	Lap_R2	Lap_R3	Lap_R4	Sor_R1	Sor_R2	Sor_R3	Sor_R4	Sun_R1	Sun_R2	Sun_R3	Sun_R4
##sp|Q96M63|CC114_HUMAN	##CCDC114	9.67077	7.77027	0	0	9.42749	11.4935	0	0	10.7833	11.8441	0	0	9.89923	9.64412	0	0	9.3678	10.0994	0	0
sp|Q9BTD8|RBM42_HUMAN	RBM42	10.2623	9.51496	9.73414	9.66827	9.63267	10.3668	9.62949	9.88358	9.10066	10.3421	11.1605	9.30821	10.205	10.0958	10.1529	9.78289	10.3587	10.1209	10.3285	10.3514
sp|Q9P258|RCC2_HUMAN	RCC2	9.34819	8.95976	9.20024	8.93664	9.09967	9.17659	8.85532	9.2262	9.28589	10.3651	10.1271	9.4387	10.1735	10.8098	10.2539	10.0011	11.2326	11.5488	11.7843	12.1766
sp|Q9H3U1|UN45A_HUMAN	UNC45A	10.216	10.2468	10.3469	10.5816	10.1004	9.88862	9.6245	10.1093	9.57843	10.1425	10.5473	10.1681	11.1289	10.3244	10.3743	10.6263	9.50873	8.86513	8.51464	9.10711
sp|O60518|RNBP6_HUMAN	RANBP6	10.4557	9.84687	10.5013	9.93626	9.87337	10.4062	11.1731	10.0118	10.2838	10.0182	12.139	9.55544	10.5405	10.4291	9.5326	8.56488	9.09551	9.0507	9.58923	8.99631
sp|O00410-3|IPO5_HUMAN	IPO5	10.0851	9.55051	9.71242	9.87361	9.31373	9.56988	9.72092	9.74798	9.04365	9.64906	9.49999	9.67827	11.4433	11.2406	10.5636	10.7252	10.1601	9.94409	9.98251	10.4955
sp|P30044|PRDX5_HUMAN	PRDX5	10.1565	9.46598	9.41882	9.22815	9.07484	9.01902	9.38063	9.42939	9.30011	10.7935	9.96733	9.79402	10.9009	10.9668	10.657	10.4151	10.6474	9.67497	10.9417	10.7679
sp|Q53GG5-2|PDLI3_HUMAN	PDLIM3	11.0119	9.91021	11.8582	10.9519	9.82748	11.4589	14.478	11.1002	11.6313	10.4465	9.8132	10.1158	10.3401	8.47801	8.51134	8.18588	8.38967	8.50589	7.69204	7.29342
sp|Q9UPT8|ZC3H4_HUMAN	ZC3H4	0	0	9.31285	9.36925	0	0	9.00217	10.0492	0	0	9.2922	10.0657	0	0	8.90206	9.41242	0	0	11.8259	12.7682
sp|P52701|MSH6_HUMAN	MSH6	8.86045	9.51207	8.60034	8.95451	9.33574	8.87047	8.48683	8.74704	8.72144	9.3932	9.51529	8.86524	9.49501	10.5652	10.0841	10.0698	12.3549	12.8916	13.4693	13.2076
sp|Q9BQE4|SELS_HUMAN	VIMP	11.1134	11.7949	10.7203	10.4966	10.5041	9.60129	12.2038	9.2852	8.63109	10.1411	12.5673	9.29243	8.55582	8.79869	9.31985	8.67856	10.3461	10.5134	10.0272	7.40884
sp|Q8WWH5|TRUB1_HUMAN	TRUB1	9.74438	10.1488	9.28841	10.3122	8.32988	9.4458	10.146	9.83163	9.44982	9.5445	10.0054	9.34115	12.4225	12.1121	11.8123	11.4463	9.88034	8.92196	8.99741	8.81936
sp|Q96D53|ADCK4_HUMAN	ADCK4	9.46533	10.1732	8.0252	6.828	8.46283	8.92285	7.84225	8.48661	9.95332	10.6197	11.933	10.3811	11.7946	11.8284	12.5809	13.192	8.98465	9.79516	10.5917	10.1393
tr|I6L894|I6L894_HUMAN	ANK2	10.3477	10.672	10.2406	10.2131	10.2395	9.80085	9.74372	9.5589	10.1245	9.93635	9.63442	9.62225	9.1014	9.20711	10.1012	10.2335	10.1741	10.3964	10.461	10.1913
sp|Q12955|ANK3_HUMAN	ANK3	9.40084	9.57633	9.52114	9.37816	10.3482	9.96212	9.03476	9.6812	10.0319	10.2916	9.54789	9.94468	8.64423	8.96763	9.46889	9.37626	11.1931	11.584	12.1168	11.9302
sp|Q12955-4|ANK3_HUMAN	ANK3	8.65532	9.10356	0	0	10.0632	9.78347	0	0	11.1638	10.492	0	0	8.50903	8.41002	0	0	11.3223	12.4973	0	0
sp|P16157-14|ANK1_HUMAN	ANK1	10.5646	10.3466	9.33992	6.1204	8.60535	10.6014	9.46943	9.42718	10.8423	10.8025	12.3038	9.04383	9.06826	9.09001	10.7903	10.4776	9.94715	10.1318	11.2891	11.7383
tr|H0Y931|H0Y931_HUMAN	ANK2	10.5498	10.2826	9.60161	10.3199	9.85873	8.73802	8.62304	10.2943	11.204	8.76358	9.57617	10.6594	9.55042	9.87504	9.73463	10.4008	11.206	9.97173	10.2105	10.5795
tr|D6RIY9|D6RIY9_HUMAN	ANK2	9.73858	9.28397	8.91569	8.80827	8.21396	9.48483	8.11213	10.8359	9.00256	11.3484	9.00858	10.5694	10.7623	9.13716	9.01041	10.1033	12.2414	10.7869	12.4175	12.2188
sp|Q9Y4W6|AFG32_HUMAN	AFG3L2	9.01911	9.29306	9.30304	9.07098	9.657	9.41037	9.10544	9.21534	10.2188	10.2209	9.95689	9.84679	9.94717	10.5978	10.8001	10.7965	10.7934	10.8423	11.0121	10.8928
sp|O95159|ZFPL1_HUMAN	ZFPL1	9.88088	9.66926	9.20751	9.81719	10.6678	9.73032	10.0997	9.75102	10.0694	10.6219	10.6353	10.2646	10.5259	10.0739	10.5931	11.2118	9.32178	9.43901	9.29052	9.12934
sp|Q6P2E9|EDC4_HUMAN	EDC4	10.0932	10.067	9.99342	10.2279	10.468	9.84571	10.2457	10.1336	9.83095	9.64528	10.5419	9.92278	10.4342	10.7272	10.277	10.1507	9.3304	9.55806	9.21131	9.29564
sp|Q9UNF1|MAGD2_HUMAN	MAGED2	9.79064	10.2292	10.0085	9.55084	9.05502	9.15781	9.34048	9.51763	10.5815	10.08	10.1915	10.1824	10.5323	10.4082	10.9428	10.2369	10.1768	9.98857	10.1729	9.85612
sp|Q9Y5V3-2|MAGD1_HUMAN	MAGED1	11.0033	11.6197	11.2452	10.169	9.97309	9.90961	10.8186	10.1867	10.4548	10.2246	11	10.0459	9.63814	9.72334	9.76133	8.97411	8.83755	8.61598	8.77187	9.02719
sp|Q9NZQ3|SPN90_HUMAN	NCKIPSD	11.8511	11.9984	11.8862	12.2938	10.8276	10.6402	9.42274	9.09594	9.65205	7.67314	9.65178	9.3179	8.66114	9.82915	10.4247	10.3025	10.0826	8.78461	8.7148	8.88959
sp|O95551-2|TYDP2_HUMAN	TDP2	9.23022	10.9849	0	0	10.702	9.92341	0	0	10.3425	9.46155	0	0	8.75435	9.48481	0	0	10.7061	10.4101	0	0
sp|O15357|SHIP2_HUMAN	INPPL1	10.1512	10.1639	10.6363	9.9137	10.5972	9.97257	10.3602	9.88968	10.2645	9.85596	10.4571	9.93431	9.49624	9.63032	9.82977	9.76689	9.97809	9.89003	9.64287	9.56917
sp|Q6UW63|KDEL1_HUMAN	KDELC1	8.85818	8.9222	8.96818	9.16091	12.3265	11.6658	9.8023	10.1386	10.021	10.5153	11.5399	10.814	9.63601	9.40441	10.2035	9.82176	8.51911	10.1316	10.0697	9.4811
sp|Q8N3L3|TXLNB_HUMAN	TXLNB	11.212	10.3492	9.59821	12.102	10.4549	10.4624	10.3942	11.809	10.117	9.72559	10.0505	11.1671	9.73024	9.53755	8.55432	8.71087	9.27968	9.13136	8.39036	9.22337
sp|Q9H9Y2|RPF1_HUMAN	RPF1	8.24419	8.47876	0	0	11.5511	10.6347	0	0	10.4196	10.7036	0	0	10.8188	10.0381	0	0	9.30816	9.80312	0	0
sp|Q96P70|IPO9_HUMAN	IPO9	9.82899	9.41551	9.96047	8.99876	9.65919	9.06843	9.81718	8.87796	9.26988	9.32194	9.95908	8.99017	11.2425	10.8961	10.5807	10.3253	11.0166	10.2807	11.4456	11.0448
sp|P02786|TFR1_HUMAN	TFRC	10.817	11.3027	10.7957	10.0149	10.4549	9.5996	9.94133	9.96085	9.80032	8.8328	10.6639	10.2403	10.9661	11.6125	11.0701	11.2832	8.32797	8.28617	8.01796	8.01179
sp|P07954|FUMH_HUMAN	FH	9.18429	9.42935	9.2417	9.004	9.97493	9.41211	9.3704	9.60371	10.1856	10.3062	9.78732	10.2578	10.1643	10.7887	10.7594	10.7135	10.1168	10.4376	10.6279	10.6343
sp|P54296|MYOM2_HUMAN	MYOM2	9.29217	8.86011	7.91814	8.30159	9.78803	9.69137	9.53866	9.93764	11.8655	11.6293	10.7734	11.6118	9.5134	8.90637	9.737	9.53334	9.46086	10.9929	10.9914	11.657
sp|Q9Y490|TLN1_HUMAN	TLN1	9.99923	10.0475	10.2063	11.2728	10.3665	11.0417	11.1617	11.115	9.91894	9.51318	9.96336	9.925	10.2568	10.1716	9.91295	9.40536	9.42568	9.25891	8.49248	8.54502
sp|Q9Y4G6|TLN2_HUMAN	TLN2	9.62129	9.96775	9.81046	9.60473	9.80348	9.72696	9.36819	9.74813	10.0395	9.9176	9.52903	9.66415	9.7337	10.0919	10.5523	10.3951	10.589	10.5089	10.7092	10.6187
sp|P18621-3|RL17_HUMAN	RPL17	11.0404	10.3477	10.1218	11.2301	10.4651	10.644	10.5974	11.3335	8.68014	10.0981	9.93824	11.0746	11.8952	10.2204	9.34698	9.53625	7.9763	8.63272	8.30015	8.52097
sp|O94826|TOM70_HUMAN	TOMM70A	9.63278	9.56334	9.63639	9.09533	9.84741	9.03687	9.66481	9.57094	9.41628	11.1452	9.95957	10.067	11.2311	10.4765	10.7577	10.894	9.6001	10.0504	10.2921	10.0621
sp|O95359|TACC2_HUMAN	TACC2	9.67478	10.0365	9.39976	9.70065	9.6061	9.91847	10.0974	10.4352	10.2899	9.9868	10.5785	10.7199	11.0099	11.5892	10.4858	9.81028	8.95956	8.92881	9.47726	9.29526
sp|O75410-2|TACC1_HUMAN	TACC1	9.0165	10.2921	10.281	11.1602	8.77673	9.31833	9.34443	10.3511	9.45443	9.19916	8.68456	8.68888	10.9662	11.8599	13.4356	10.9378	10.7395	10.3772	9.12056	7.99596
tr|H0Y9Y7|H0Y9Y7_HUMAN	TACC2	10.2519	11.0818	0	0	12.0049	10.5035	0	0	10.629	10.7632	0	0	10.4231	8.97156	0	0	6.64832	8.72273	0	0
sp|Q9P0V3|SH3B4_HUMAN	SH3BP4	9.10703	9.49895	9.74071	11.0068	11.1507	10.644	10.6621	11.9974	9.35514	9.04194	9.32787	9.93142	9.25135	10.9078	9.9729	9.38097	10.7022	10.3409	8.88301	9.09687
sp|Q14195-2|DPYL3_HUMAN	DPYSL3	9.98974	9.86533	10.3748	9.7291	11.1053	10.5461	10.8562	9.712	10.4977	10.0179	9.46345	10.1946	9.52219	8.87486	9.86045	9.95784	9.29949	10.2812	10.0624	9.78921
sp|O14531|DPYL4_HUMAN	DPYSL4	11.5579	12.4626	11.4056	11.4883	9.59283	9.67952	8.73281	9.23773	9.66325	8.95568	9.72095	9.20973	8.65046	8.7218	9.82916	9.85796	10.8794	9.83656	10.4835	10.0342
sp|Q14194-2|DPYL1_HUMAN	CRMP1	9.44993	9.47259	10.0748	9.54904	9.76667	8.95999	9.87612	9.56722	10.4859	10.1064	9.888	9.73512	9.43525	9.7035	9.9722	9.99969	11.2169	11.4028	10.7625	10.5753
sp|Q16555|DPYL2_HUMAN	DPYSL2	8.5147	8.97497	9.28694	8.82909	9.38292	9.1751	8.90207	8.63738	10.1197	10.1056	9.19993	9.85496	9.37792	9.85251	10.198	9.7515	11.7489	12.7476	12.7979	12.5422
sp|Q8N4T8|CBR4_HUMAN	CBR4	9.13387	8.55119	8.35671	8.72663	9.37985	9.05878	8.36709	9.75788	10.5627	10.8608	10.313	10.56	10.7512	10.2731	10.5488	10.7328	10.9929	10.4357	11.1031	11.534
sp|P23381|SYWC_HUMAN	WARS	9.79463	10.1878	9.93197	9.87538	9.84157	9.34836	9.40499	9.59435	9.91605	9.14892	9.64438	9.31039	11.429	11.4559	12.1527	11.7657	9.40088	9.47681	9.15136	9.16884
sp|P35221-2|CTNA1_HUMAN	CTNNA1	11.3842	10.9208	10.9357	11.286	10.3513	10.848	11.096	11.0001	10.2316	9.00424	9.46947	9.45753	9.33834	7.81526	8.70322	8.23268	10.4392	9.667	9.81723	10.002
sp|Q9UI47|CTNA3_HUMAN	CTNNA3	10.936	10.125	10.3085	9.50772	10.3556	10.9869	11.297	9.78195	9.29651	10.3051	9.64521	9.22712	9.9852	8.5807	9.48281	9.1069	9.34892	10.0801	11.0343	10.6085
sp|P26232|CTNA2_HUMAN	CTNNA2	11.1303	10.7306	10.9103	11.4604	12.0391	11.9111	11.6678	11.1073	10.4163	9.15079	9.24673	8.91	8.58773	7.21745	8.49219	7.93562	8.98644	9.83022	10.3692	9.90032
sp|Q9BUP0|EFHD1_HUMAN	EFHD1	10.19	9.90419	12.0458	11.3009	10.1043	8.71214	9.5688	9.11382	8.79139	10.1622	8.58726	8.40535	12.0197	9.40973	11.3489	10.7784	10.6959	10.0105	9.40157	9.44921
sp|Q96C19|EFHD2_HUMAN	EFHD2	11.288	10.4547	10.7746	10.7213	9.34515	8.39882	8.22313	9.30115	8.39629	10.0331	9.48345	8.56434	12.6797	9.81853	11.5786	11.7929	9.62415	9.96155	9.91419	9.64629
sp|Q9GZT9|EGLN1_HUMAN	EGLN1	13.6153	14.2026	14.3893	11.4129	9.51595	9.52075	10.0571	10.3876	10.2582	8.35442	9.70646	9.19249	8.30088	8.33441	9.29617	8.74551	9.58768	8.30982	8.61895	8.19359
sp|Q9Y3B7|RM11_HUMAN	MRPL11	10.5613	9.14159	9.46597	9.26511	9.37594	8.52119	9.57875	9.33804	8.6095	11.8223	10.0151	9.93153	12.4341	9.80071	11.0501	10.9348	9.79467	9.93861	10.5121	9.90853
sp|Q96T51|RUFY1_HUMAN	RUFY1	9.7461	9.5926	8.83632	9.1521	9.54751	9.47236	9.39364	9.83559	10.4144	9.52033	10.1843	10.9632	10.9372	10.6006	10.4747	11.4752	9.86011	10.3088	10.0104	9.67452
sp|Q8WXA3|RUFY2_HUMAN	RUFY2	9.3917	9.39932	8.72952	10.9073	9.22834	10.715	9.87523	11.0337	9.56893	9.89174	9.25489	10.4247	10.8145	10.0537	8.88889	10.9187	10.9102	10.0266	10.4804	9.48668
sp|P54578|UBP14_HUMAN	USP14	9.63465	10.3014	10.1554	9.94397	9.36767	9.73993	9.6536	9.44456	9.80481	9.34266	9.9854	9.23302	10.2561	10.6623	10.4939	10.2226	10.8598	10.0307	10.7827	10.0848
sp|Q7L099-2|RUFY3_HUMAN	RUFY3	0	0	9.13	7.44646	0	0	9.56255	8.97329	0	0	9.98124	10.4766	0	0	11.664	12.9494	0	0	10.1113	9.70504
sp|Q7L099-3|RUFY3_HUMAN	RUFY3	7.52634	11.4721	9.41374	10.3284	10.0196	10.9324	9.54154	10.3972	10.3256	9.15578	11.4015	9.52034	9.07249	10.0367	9.67371	10.0321	11.7998	9.65924	9.49905	10.1924
sp|Q5VSL9|STRP1_HUMAN	STRIP1	9.78835	9.87376	9.82715	9.54062	10.3107	9.9482	9.67361	10.4751	9.87497	9.91917	10.94	10.3244	10.9654	9.86025	9.81575	10.0258	9.8722	9.58696	9.70124	9.6764
sp|Q9ULQ0|STRP2_HUMAN	STRIP2	10.3321	10.0298	10.2251	10.7874	10.5637	10.1058	9.86612	10.3401	10.1274	9.84283	10.0752	10.4253	9.3187	9.76027	9.35775	9.40108	9.9858	9.93363	9.75591	9.76614
sp|O14497|ARI1A_HUMAN	ARID1A	9.72861	9.81886	9.80988	10.1479	10.0717	10.0184	11.0858	10.1964	10.0898	10.2884	10.0376	10.2935	9.83966	9.96555	9.71163	8.98426	9.8246	10.3543	9.8889	9.84415
sp|Q8NFD5-3|ARI1B_HUMAN	ARID1B	8.80391	9.65698	9.55057	9.79741	9.16226	9.03891	9.55683	9.85155	9.99024	9.81644	10.3619	9.91749	9.53544	10.7438	9.51691	9.56283	11.931	11.321	10.5589	11.3257
sp|Q9BQS8|FYCO1_HUMAN	FYCO1	9.31859	10.0726	9.29828	9.50059	10.3105	9.64275	9.72298	9.98127	11.5291	11.0233	11.5723	11.2656	8.82522	9.53116	9.16953	8.97973	10.2815	9.46529	10.3587	10.151
sp|P13807|GYS1_HUMAN	GYS1	10.6222	11.1	11.2993	9.70561	9.7239	9.24264	9.62766	9.06034	9.59405	9.07156	9.32586	8.89445	9.74168	10.1509	10.2945	11.4826	10.699	10.0541	10.1083	10.2014
sp|P51970|NDUA8_HUMAN	NDUFA8	10.4847	9.87908	9.03265	10.5031	10.2852	10.1494	9.11426	10.2928	8.3686	10.9345	10.1656	10.1908	12.0503	10.4981	10.0928	10.7292	8.1494	9.20082	9.88269	9.99607
sp|Q9UGJ0|AAKG2_HUMAN	PRKAG2	10.9906	10.1485	10.9006	9.21558	9.97208	9.39925	9.06028	8.47767	8.89112	8.98403	9.47267	9.01204	11.4784	10.9317	11.0578	12.321	9.95111	9.25323	10.2657	10.2167
sp|P54619-3|AAKG1_HUMAN	PRKAG1	10.0236	8.90425	9.97785	8.76267	10.3356	8.65035	8.65462	8.24823	9.19021	9.72047	9.93054	10.065	10.7291	10.3589	9.96296	11.9387	10.6754	11.412	11.0188	11.4406
sp|Q8TAE8|G45IP_HUMAN	GADD45GIP1	9.10649	9.97894	8.39688	9.50222	8.81342	8.09188	8.75647	9.72797	9.26307	11.8345	9.85969	10.5604	11.5283	9.95197	10.4024	11.3149	10.3053	11.1261	10.5298	10.9493
sp|Q7L2E3-2|DHX30_HUMAN	DHX30	9.46695	9.51689	9.478	9.57811	9.98043	10.1258	10.0486	10.2901	9.99595	9.75473	10.4146	10.3968	10.7279	10.8683	10.329	10.5297	9.94636	9.61666	9.52609	9.40893
sp|O15269|SPTC1_HUMAN	SPTLC1	8.2715	8.84734	8.8938	9.65471	9.84009	10.1181	10.1447	10.549	10.2745	10.4238	11.0776	11.109	10.2537	10.178	8.74579	8.57075	11.2271	10.5659	10.3213	10.9334
sp|Q14008-3|CKAP5_HUMAN	CKAP5	9.97092	9.92689	10.3535	9.95328	9.55375	9.85258	9.88142	10.2454	9.62704	9.59484	9.9229	10.0289	10.8269	10.8681	10.5376	10.2785	10.1271	9.65184	9.38373	9.41477
sp|Q7Z392|TPC11_HUMAN	TRAPPC11	9.8152	9.39367	9.51114	9.4196	9.92674	9.71859	10.854	10.0834	10.373	9.64861	10.5707	10.0332	10.0762	10.3926	10.165	9.69207	10.4493	10.2061	9.93615	9.73483
sp|Q6NWY9|PR40B_HUMAN	PRPF40B	9.67352	9.72578	9.43131	9.75315	9.63021	8.88679	8.69545	9.80526	9.64393	9.98266	9.82977	9.62973	10.8848	11.0007	10.5374	10.3338	10.1249	10.4468	10.2955	11.6886
sp|O75400|PR40A_HUMAN	PRPF40A	10.0817	9.73366	9.48271	10.0959	9.77895	9.06969	10.2232	9.52154	10.3181	9.90901	10.0172	9.94466	10.1654	9.96517	10.0139	9.15216	10.5056	10.4726	10.6386	10.9102
sp|Q6JQN1|ACD10_HUMAN	ACAD10	9.79493	10.0525	9.80153	8.93264	9.05075	9.49787	9.02914	8.72867	9.87809	10.0727	9.8671	9.44128	10.0781	10.9767	10.6195	11.3374	10.3296	10.2688	10.9908	11.2519
sp|P05091|ALDH2_HUMAN	ALDH2	9.07583	9.20981	8.7088	8.04339	9.31752	8.96329	8.6537	8.97052	9.87152	9.73707	9.71283	10.2214	10.9191	11.8063	11.5255	11.6487	10.5307	10.5688	11.5007	11.0144
sp|P30837|AL1B1_HUMAN	ALDH1B1	9.25089	9.01737	9.18801	8.95016	9.2913	9.34023	9.4872	9.19057	9.90782	9.83573	9.72581	9.8608	11.7923	12.0028	11.3565	11.4336	9.406	10.1556	10.5104	10.297
sp|P00352|AL1A1_HUMAN	ALDH1A1	9.73175	9.93342	0	0	9.27844	9.24809	0	0	9.70042	10.899	0	0	10.2551	10.0439	0	0	11.2797	9.63026	0	0
sp|Q8N0Z6|TTC5_HUMAN	TTC5	11.8154	10.2655	10.174	9.79954	10.2912	9.58034	9.31083	9.73025	9.12482	9.43996	9.0791	10.9517	9.5959	10.5861	10.0024	10.2952	9.68674	9.61411	9.79764	10.8593
sp|P31948|STIP1_HUMAN	STIP1	10.1046	10.0751	10.2727	10.333	9.67017	9.46097	9.91544	9.88744	9.62605	9.40295	9.42634	9.78109	10.2563	10.6154	10.7144	10.3414	10.6946	10.094	9.64678	9.68153
sp|P50502|F10A1_HUMAN	ST13	10.0418	9.84016	9.98086	9.94171	9.62487	9.86032	10.0183	9.92283	9.34023	10.4327	10.1213	9.66508	10.1426	9.90792	10.8596	9.87688	10.2942	10.5152	9.95018	9.66326
