ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1354686	1.53E-15	1.22E-18	-44.911715	32.990792	-3.55030284	Cpt2	carnitine palmitoyltransferase 2
ILMN_1364240	1.73E-15	1.46E-18	-44.421479	32.820378	-2.95976259	Camk2g	calcium/calmodulin-dependent protein kinase II gamma
ILMN_1370810	1.82E-15	1.61E-18	-44.145248	32.723369	-3.87218068	Hdlbp	high density lipoprotein binding protein
ILMN_1357053	1.87E-15	1.75E-18	-43.930299	32.647384	-2.60684941	Lpl	lipoprotein lipase
ILMN_1364814	2.05E-15	2E-18	-43.570444	32.519188	-4.42341852		
ILMN_1374002	2.4E-15	2.45E-18	-43.032944	32.325366	-2.77649751	Txnrd2	thioredoxin reductase 2
ILMN_1351816	2.54E-15	2.71E-18	-42.766222	32.22813	-3.50274494	Dennd5a	DENN domain containing 5A
ILMN_1374733	2.57E-15	2.85E-18	-42.634702	32.179921	-2.10979468		
ILMN_1368234	2.84E-15	3.28E-18	-42.264835	32.043408	-2.76710212	Psap	prosaposin
ILMN_1371344	2.86E-15	3.42E-18	-42.156768	32.003258	-4.75657612	Cebpb	CCAAT/enhancer binding protein beta
ILMN_1352273	3.6E-15	4.63E-18	-41.38259	31.712088	-2.99925054	Klc1	kinesin light chain 1
ILMN_1350242	3.6E-15	4.9E-18	-41.241368	31.658293	-2.88198005	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein
ILMN_1349888	3.6E-15	5.14E-18	-41.118575	31.611344	-2.82664481	Tmed1	transmembrane p24 trafficking protein 1
ILMN_1373506	3.6E-15	5.15E-18	-41.11414	31.609645	-4.08696183	Map2k3	mitogen activated protein kinase kinase 3
ILMN_1374612	3.6E-15	5.3E-18	-41.042541	31.582192	-2.09762018	Tm9sf4	transmembrane 9 superfamily member 4
ILMN_1358540	3.6E-15	5.46E-18	-40.968494	31.553741	-2.99227987	Bag6	BCL2-associated athanogene 6
ILMN_1355733	3.6E-15	5.6E-18	-40.900447	31.527544	-3.20962285	Acadl	acyl-CoA dehydrogenase, long chain
ILMN_1369781	3.6E-15	5.62E-18	-40.892445	31.52446	-2.34213161	Pdcl3	phosducin-like 3
ILMN_1376437	3.6E-15	5.75E-18	-40.836032	31.502698	-2.92525557	Zfand3	zinc finger AN1-type containing 3
ILMN_1530429	4E-15	6.58E-18	40.500496	31.372544	2.55325403		
ILMN_1356716	4.06E-15	6.84E-18	-40.402586	31.33433	-4.43815135	Prkcdbp	protein kinase C, delta binding protein
ILMN_1376395	4.31E-15	7.47E-18	-40.186986	31.249807	-3.50893934	March2	membrane associated ring-CH-type finger 2
ILMN_1361806	4.37E-15	7.76E-18	-40.091834	31.212337	-2.51446025	Dym	dymeclin
ILMN_1374808	5.44E-15	9.9E-18	-39.496476	30.97556	-4.41970981	Mrpl4	mitochondrial ribosomal protein L4
ILMN_1353786	5.68E-15	1.06E-17	-39.331461	30.90921	-3.33061141	Dusp3	dual specificity phosphatase 3
ILMN_1357473	5.91E-15	1.13E-17	-39.178533	30.847436	-4.44227164	Ptp4a3	protein tyrosine phosphatase type IVA, member 3
ILMN_1650955	6.41E-15	1.25E-17	-38.931009	30.746866	-3.56683016		
ILMN_1368925	6.8E-15	1.36E-17	-38.735474	30.666904	-2.44639954	Plin5	perilipin 5
ILMN_1362474	7.03E-15	1.44E-17	-38.60516	30.613358	-2.45648257		
ILMN_1369868	7.59E-15	1.58E-17	-38.372217	30.517131	-3.14792628	Ipo13	importin 13
ILMN_1355122	7.88E-15	1.68E-17	-38.235499	30.460344	-3.09069992		
ILMN_1360769	8.13E-15	1.79E-17	-38.089911	30.399621	-3.42133464	Zer1	zyg-11 related, cell cycle regulator
ILMN_1368848	8.13E-15	1.81E-17	-38.064819	30.389129	-1.59551769	Mon1a	MON1 homolog A, secretory trafficking associated
ILMN_1370063	8.6E-15	1.95E-17	-37.887429	30.31473	-3.08057318	Mdh1	malate dehydrogenase 1
ILMN_1375218	8.68E-15	2E-17	-37.821384	30.28693	-4.45295612	Cdc37	cell division cycle 37
ILMN_1365261	8.9E-15	2.1E-17	-37.718177	30.243377	-3.27559422	Ppp3r1	protein phosphatase 3, regulatory subunit B, alpha
ILMN_1367197	9.41E-15	2.26E-17	-37.546633	30.170689	-3.3747156	Tmco1	transmembrane and coiled-coil domains 1
ILMN_1367435	1.07E-14	2.62E-17	-37.203049	30.023972	-2.11290961	Pdzd7	PDZ domain containing 7
ILMN_1376777	1.18E-14	2.95E-17	-36.93269	29.907451	-3.05045726	Mpst	mercaptopyruvate sulfurtransferase
ILMN_1352654	1.18E-14	2.98E-17	-36.907074	29.896362	-3.08861428		
ILMN_1350324	1.18E-14	3.09E-17	-36.828654	29.862358	-3.85345187	Atp5b	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
ILMN_1371107	1.18E-14	3.1E-17	-36.821963	29.859453	-3.50026659	Ncln	nicalin
ILMN_1364653	1.21E-14	3.23E-17	-36.725897	29.817679	-4.25639487	Banf1	barrier to autointegration factor 1
ILMN_1350576	1.32E-14	3.58E-17	-36.495342	29.716924	-3.82486144		
ILMN_1352331	1.34E-14	3.68E-17	-36.434654	29.690284	-3.36355014	Tex264	testis expressed 264
ILMN_1355335	1.36E-14	3.81E-17	-36.356503	29.655905	-2.3081868	Pofut2	protein O-fucosyltransferase 2
ILMN_1365841	1.46E-14	4.14E-17	-36.171909	29.574375	-2.89466064	Myh14	myosin, heavy chain 14, non-muscle
ILMN_1353217	1.47E-14	4.23E-17	-36.123134	29.552755	-2.80560535	Srp68	signal recognition particle 68
ILMN_1376698	1.48E-14	4.34E-17	-36.064623	29.526776	-2.9816819	Vegfb	vascular endothelial growth factor B
ILMN_1365670	1.62E-14	4.83E-17	-35.828579	29.421495	-4.13317857	Gpi	glucose-6-phosphate isomerase
ILMN_1362370	1.88E-14	5.67E-17	-35.479053	29.264177	-2.38626649	Tpst2	tyrosylprotein sulfotransferase 2
ILMN_1364331	1.91E-14	5.85E-17	-35.408831	29.232363	-3.07861168	Pgls	6-phosphogluconolactonase
ILMN_1373708	1.91E-14	5.94E-17	-35.376809	29.217833	-3.25915791	Nmt1	N-myristoyltransferase 1
ILMN_1371909	1.97E-14	6.21E-17	-35.280689	29.174129	-2.24143114	Itga5	integrin subunit alpha 5
ILMN_1349574	2.05E-14	6.54E-17	-35.166589	29.122079	-2.53487198	Inpp5j	inositol polyphosphate-5-phosphatase J
ILMN_1373577	2.24E-14	7.25E-17	-34.945934	29.020889	-2.06050621	Tpp2	tripeptidyl peptidase 2
ILMN_1372596	2.26E-14	7.46E-17	-34.882753	28.991786	-3.05159591	Prdx1	peroxiredoxin 1
ILMN_1353956	2.26E-14	7.53E-17	-34.86404	28.983154	-1.46705567	Tapbp	TAP binding protein (tapasin)
ILMN_1352782	2.29E-14	7.73E-17	-34.805745	28.956234	-3.21487983	Tpp1	tripeptidyl peptidase 1
ILMN_1368406	2.32E-14	7.93E-17	-34.75327	28.931958	-2.67479127	Atg9a	autophagy related 9A
ILMN_1359804	2.36E-14	8.16E-17	-34.690489	28.902862	-2.50517764	Cab39	calcium binding protein 39
ILMN_1374806	2.46E-14	8.63E-17	-34.572804	28.848163	-3.04626257	Mdh2	malate dehydrogenase 2
ILMN_1368342	2.73E-14	9.7E-17	-34.324336	28.732003	-3.46796161	Gatc	glutamyl-tRNA amidotransferase subunit C
ILMN_1367511	2.79E-14	1E-16	-34.253408	28.698674	-2.71127494	Adgrl2	adhesion G protein-coupled receptor L2
ILMN_1349239	2.95E-14	1.07E-16	-34.108438	28.630317	-2.24926746	Tceb2	transcription elongation factor B subunit 2
ILMN_1371715	3.06E-14	1.13E-16	-34.009156	28.583319	-2.33331548	Wbp11	WW domain binding protein 11
ILMN_1371378	3.11E-14	1.16E-16	-33.950167	28.555324	-1.92731108		
ILMN_1365412	3.16E-14	1.2E-16	-33.882854	28.523313	-3.28678395	Rps27a	ribosomal protein S27a
ILMN_1357172	3.16E-14	1.21E-16	-33.866555	28.515552	-2.58266792	Dnlz	DNL-type zinc finger
ILMN_1352448	3.17E-14	1.22E-16	-33.836907	28.501423	-3.63525616		
ILMN_1376473	3.72E-14	1.47E-16	-33.459206	28.320237	-2.89428923	Tesk1	testis-specific kinase 1
ILMN_1368736	3.72E-14	1.48E-16	-33.444956	28.313357	-2.37603174	Kcnj11	potassium voltage-gated channel subfamily J member 11
ILMN_1376412	3.72E-14	1.49E-16	-33.431903	28.307053	-1.65019169	Gphn	gephyrin
ILMN_1360966	3.75E-14	1.51E-16	33.395447	28.289431	4.54393819		
ILMN_1372499	3.97E-14	1.64E-16	-33.232241	28.210283	-2.55988828	Lad1	ladinin 1
ILMN_1350071	3.97E-14	1.67E-16	-33.189767	28.189616	-1.61202904	Pias4	protein inhibitor of activated STAT, 4
ILMN_1361943	3.97E-14	1.68E-16	-33.186792	28.188167	-4.06693976		
ILMN_1530425	3.97E-14	1.69E-16	33.164237	28.17718	2.94889739	Mccc2	methylcrotonoyl-CoA carboxylase 2
ILMN_1366054	3.97E-14	1.7E-16	-33.153795	28.17209	-2.3110403	Abcc8	ATP binding cassette subfamily C member 8
ILMN_1350748	3.97E-14	1.73E-16	-33.122364	28.156759	-2.70916699	Abhd14b	abhydrolase domain containing 14b
ILMN_1649965	3.97E-14	1.74E-16	-33.107528	28.149518	-3.61277943		
ILMN_1361338	3.97E-14	1.75E-16	-33.10264	28.147131	-2.08413328	Helz	helicase with zinc finger
ILMN_1358975	4.02E-14	1.78E-16	-33.058574	28.125596	-2.66528839	Creld1	cysteine-rich with EGF-like domains 1
ILMN_1350367	4.14E-14	1.86E-16	-32.978261	28.086269	-2.96686023	Clptm1l	CLPTM1-like
ILMN_1358507	4.21E-14	1.93E-16	-32.898506	28.047112	-2.02478703		
ILMN_1356183	4.21E-14	1.96E-16	-32.872179	28.034163	-3.16392021		
ILMN_1360110	4.21E-14	1.96E-16	-32.866296	28.031268	-2.72947598	Afg3l2	AFG3 like matrix AAA peptidase subunit 2
ILMN_1357233	4.21E-14	1.98E-16	-32.846349	28.021448	-2.41132633	Cand2	cullin-associated and neddylation-dissociated 2 (putative)
ILMN_1363632	4.21E-14	1.98E-16	-32.845868	28.021211	-2.74723872	Ndufa10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10
ILMN_1355604	4.39E-14	2.09E-16	-32.740746	27.969352	-3.81656358	Crat	carnitine O-acetyltransferase
ILMN_1364052	4.61E-14	2.21E-16	-32.621059	27.910086	-3.50000487	Arhgdia	Rho GDP dissociation inhibitor alpha
ILMN_1358231	4.61E-14	2.25E-16	-32.590529	27.894931	-2.35751614	Plod1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1
ILMN_1369730	4.61E-14	2.25E-16	-32.588737	27.894041	-2.62038388	Sidt2	SID1 transmembrane family, member 2
ILMN_1372442	4.69E-14	2.32E-16	-32.527093	27.863392	-1.77427383	Ipo4	importin 4
ILMN_1348870	4.69E-14	2.34E-16	-32.507015	27.853395	-3.2490211	Flot1	flotillin 1
ILMN_1350522	4.69E-14	2.39E-16	-32.467477	27.833691	-3.31162879	Nf1x	nuclear factor 1 X
ILMN_1355155	4.69E-14	2.39E-16	-32.465825	27.832867	-2.91507175	Aars	alanyl-tRNA synthetase
ILMN_1354862	4.69E-14	2.39E-16	-32.464354	27.832134	-2.43914793	Tnnc1	troponin C1, slow skeletal and cardiac type
ILMN_1371691	4.75E-14	2.45E-16	-32.420979	27.810485	-2.92775364	Bckdha	branched chain ketoacid dehydrogenase E1, alpha polypeptide
ILMN_1364040	4.87E-14	2.54E-16	-32.343985	27.771979	-3.76027874	Nrap	nebulin-related anchoring protein
ILMN_1373826	4.87E-14	2.55E-16	-32.338486	27.769225	-3.11047416	Cdc5l	cell division cycle 5-like
ILMN_1374555	4.87E-14	2.58E-16	-32.316033	27.757975	-1.6651741	Neurl4	neuralized E3 ubiquitin protein ligase 4
ILMN_1364880	4.87E-14	2.6E-16	-32.301484	27.750681	-2.13952161	Aprt	adenine phosphoribosyl transferase
ILMN_1357145	5.09E-14	2.73E-16	-32.19969	27.699548	-3.83843082	Pdzd9	PDZ domain containing 9
ILMN_1356493	5.15E-14	2.81E-16	-32.148028	27.67353	-2.47722552	Rtfdc1	replication termination factor 2 domain containing 1
ILMN_1376289	5.15E-14	2.81E-16	-32.142886	27.670937	-2.37183716	Yif1b	Yip1 interacting factor homolog B, membrane trafficking protein
ILMN_1349348	5.39E-14	2.97E-16	-32.036685	27.617302	-2.50568271	Mipep	mitochondrial intermediate peptidase
ILMN_1358860	5.46E-14	3.03E-16	-31.995808	27.596606	-2.95161774	Trappc13	trafficking protein particle complex 13
ILMN_1359864	5.46E-14	3.06E-16	-31.978485	27.587827	-2.82995845	Yif1a	Yip1 interacting factor homolog A, membrane trafficking protein
ILMN_1359460	5.54E-14	3.12E-16	-31.936505	27.566531	-2.44778353	Orai1	ORAI calcium release-activated calcium modulator 1
ILMN_1374742	5.56E-14	3.19E-16	-31.890921	27.543372	-2.17881392	Gtf3c1	general transcription factor IIIC subunit 1
ILMN_1362330	5.56E-14	3.2E-16	-31.887719	27.541744	-1.62232742	Slc25a29	solute carrier family 25 member 29
ILMN_1372512	5.56E-14	3.23E-16	-31.872003	27.53375	-3.49108756		
ILMN_1362537	5.56E-14	3.23E-16	-31.867568	27.531493	-2.26132917		
ILMN_1369944	5.63E-14	3.3E-16	-31.828106	27.5114	-3.40218541	Rufy1	RUN and FYVE domain containing 1
ILMN_1368841	5.96E-14	3.52E-16	-31.702369	27.447198	-2.88583819	Lrrc59	leucine rich repeat containing 59
ILMN_1367281	6.11E-14	3.63E-16	-31.63786	27.414153	-3.261968	Rpl41	ribosomal protein L41
ILMN_1374735	6.14E-14	3.68E-16	-31.615021	27.402436	-3.69982759	Myadml2	myeloid-associated differentiation marker-like 2
ILMN_1370105	6.36E-14	3.84E-16	-31.529388	27.358424	-2.513301	Commd9	COMM domain containing 9
ILMN_1369755	6.5E-14	3.95E-16	-31.473342	27.329549	-2.94172818	Mrps18a	mitochondrial ribosomal protein S18A
ILMN_1372657	6.56E-14	4.02E-16	-31.43939	27.31203	-3.12936215	Pgm1	phosphoglucomutase 1
ILMN_1359056	6.56E-14	4.05E-16	-31.42925	27.306794	-2.14968311	Diablo	diablo, IAP-binding mitochondrial protein
ILMN_1368063	6.71E-14	4.17E-16	-31.370534	27.276438	-1.46316966	Ap1b1	adaptor-related protein complex 1, beta 1 subunit
ILMN_1373565	6.87E-14	4.32E-16	-31.301928	27.240892	-3.02943042	Aph1a	aph-1 homolog A, gamma secretase subunit
ILMN_1373855	6.87E-14	4.33E-16	-31.297273	27.238477	-2.35078835	Arfgap2	ADP-ribosylation factor GTPase activating protein 2
ILMN_1365622	6.9E-14	4.38E-16	-31.273979	27.226387	-2.63595764	Pcyt2	phosphate cytidylyltransferase 2, ethanolamine
ILMN_1375059	6.95E-14	4.46E-16	-31.239392	27.208418	-3.75529505	Apoo	apolipoprotein O
ILMN_1355537	6.95E-14	4.47E-16	-31.235258	27.206268	-2.90096056	Fabp3	fatty acid binding protein 3
ILMN_1351504	7.19E-14	4.69E-16	-31.142673	27.158056	-2.49530501	Fuk	fucokinase
ILMN_1359370	7.19E-14	4.69E-16	-31.142415	27.157921	-2.04762922	Adrm1	adhesion regulating molecule 1
ILMN_1369810	7.28E-14	4.78E-16	-31.105387	27.138595	-4.02043696		
ILMN_1365062	7.28E-14	4.82E-16	-31.092872	27.132058	-3.12764337	Abhd4	abhydrolase domain containing 4
ILMN_1357918	7.68E-14	5.12E-16	-30.976336	27.07105	-2.53429358	Inppl1	inositol polyphosphate phosphatase-like 1
ILMN_1375221	8.12E-14	5.45E-16	-30.857537	27.008603	-3.11064929	Sarnp	SAP domain containing ribonucleoprotein
ILMN_1351951	8.25E-14	5.57E-16	-30.815981	26.986699	-3.1163667	Tbc1d9b	TBC1 domain family member 9B
ILMN_1360892	8.48E-14	5.76E-16	-30.751086	26.952428	-2.93847688	Napa	NSF attachment protein alpha
ILMN_1358401	8.48E-14	5.8E-16	-30.738083	26.945552	-2.06169595	Cygb	cytoglobin
ILMN_2039919	9.03E-14	6.22E-16	30.605858	26.875455	2.62943547		
ILMN_1365669	9.19E-14	6.37E-16	-30.561377	26.851802	-2.90033222	Mark2	microtubule affinity regulating kinase 2
ILMN_1353872	9.35E-14	6.52E-16	-30.517349	26.828353	-3.0100323	Rbm42	RNA binding motif protein 42
ILMN_1362346	9.46E-14	6.64E-16	-30.481501	26.809234	-1.99122031	Otud5	OTU deubiquitinase 5
ILMN_1361266	9.46E-14	6.68E-16	-30.468894	26.802505	-3.6448199	Plpp3	phospholipid phosphatase 3
ILMN_1351158	9.46E-14	6.75E-16	-30.451178	26.793043	-2.66128087	Rasa1	RAS p21 protein activator 1
ILMN_1351065	9.46E-14	6.77E-16	-30.445715	26.790125	-2.902658		
ILMN_1363072	9.46E-14	6.84E-16	-30.425379	26.779254	-2.18111735	Eif2ak1	eukaryotic translation initiation factor 2 alpha kinase 1
ILMN_1366545	9.46E-14	6.84E-16	-30.424847	26.77897	-3.39376225	Tmbim6	transmembrane BAX inhibitor motif containing 6
ILMN_1364059	9.56E-14	6.99E-16	-30.384668	26.75747	-1.35203067	Tmem192	transmembrane protein 192
ILMN_1372465	9.56E-14	7E-16	-30.381383	26.755711	-1.76397194		
ILMN_1351233	9.57E-14	7.06E-16	-30.367133	26.748078	-1.89249262	Wrnip1	Werner helicase interacting protein 1
ILMN_1372648	9.73E-14	7.22E-16	-30.325387	26.725693	-2.32906803		
ILMN_1372006	9.91E-14	7.39E-16	-30.279827	26.701227	-3.26003917		
ILMN_1651010	1E-13	7.53E-16	-30.244325	26.682134	-3.24650694	Hspd1	heat shock protein family D member 1
ILMN_1368601	1.02E-13	7.71E-16	-30.201332	26.658981	-3.34208743	Fam89b	family with sequence similarity 89, member B
ILMN_1365225	1.05E-13	7.94E-16	-30.147324	26.629847	-3.19263706	Ap1m1	adaptor-related protein complex 1, mu 1 subunit
ILMN_1372411	1.06E-13	8.06E-16	-30.119082	26.614589	-2.30994007	Mpi	mannose phosphate isomerase (mapped)
ILMN_1350737	1.07E-13	8.2E-16	-30.087093	26.597289	-2.12556672	Rtn2	reticulon 2
ILMN_1366012	1.23E-13	9.49E-16	-29.815786	26.449775	-1.50685982		
ILMN_1349761	1.25E-13	9.67E-16	-29.780081	26.430256	-2.43047116	Utp4	UTP4 small subunit processome component
ILMN_1376393	1.25E-13	9.77E-16	-29.763016	26.420918	-2.52315504	Clpb	ClpB homolog, mitochondrial AAA ATPase chaperonin
ILMN_1351773	1.25E-13	9.92E-16	-29.733613	26.404815	-3.26429329		
ILMN_1376881	1.25E-13	9.98E-16	-29.723304	26.399165	-2.90074493	Dap3	death associated protein 3
ILMN_1358443	1.25E-13	9.99E-16	-29.721177	26.397999	-2.25383387	Eif2b2	eukaryotic translation initiation factor 2B subunit beta
ILMN_1353148	1.25E-13	1E-15	-29.71791	26.396208	-3.49816261	Glrx5	glutaredoxin 5
ILMN_1364067	1.28E-13	1.03E-15	-29.668377	26.369028	-2.66629041	Emc10	ER membrane protein complex subunit 10
ILMN_1361484	1.3E-13	1.05E-15	-29.632201	26.349147	-3.82081282	Nnt	nicotinamide nucleotide transhydrogenase
ILMN_1371270	1.31E-13	1.07E-15	-29.600246	26.331565	-3.27005509	Adgrg1	adhesion G protein-coupled receptor G1
ILMN_1372704	1.31E-13	1.08E-15	-29.581232	26.321093	-3.22518332		
ILMN_1370639	1.31E-13	1.08E-15	29.579161	26.319952	2.91282837		
ILMN_1365798	1.31E-13	1.08E-15	-29.572194	26.316113	-2.38919977	Wsb2	WD repeat and SOCS box-containing 2
ILMN_1359173	1.32E-13	1.09E-15	-29.55808	26.308332	-2.76825513	Pigy	phosphatidylinositol glycan anchor biosynthesis, class Y
ILMN_1362080	1.33E-13	1.11E-15	-29.520392	26.287538	-2.31608219	Klf6	Kruppel-like factor 6
ILMN_1374906	1.33E-13	1.12E-15	-29.514839	26.284471	-4.62538028		
ILMN_1358721	1.33E-13	1.12E-15	-29.507193	26.280249	-2.30858313	Pacs1	phosphofurin acidic cluster sorting protein 1
ILMN_1376361	1.36E-13	1.16E-15	-29.454711	26.251231	-2.70752323	Itfg1	integrin alpha FG-GAP repeat containing 1
ILMN_1376336	1.38E-13	1.18E-15	-29.420765	26.232433	-2.62558375	Lpcat3	lysophosphatidylcholine acyltransferase 3
ILMN_1351306	1.38E-13	1.19E-15	29.406636	26.224602	3.81641589		
ILMN_1651050	1.45E-13	1.25E-15	-29.308749	26.17024	-2.05329498	Mast2	microtubule associated serine/threonine kinase 2
ILMN_1372955	1.45E-13	1.26E-15	-29.304187	26.167701	-1.76584672		
ILMN_1348865	1.47E-13	1.28E-15	-29.274447	26.151144	-2.21287114	Ank1	ankyrin 1
ILMN_1369105	1.47E-13	1.29E-15	-29.253005	26.139196	-3.50042331	Sgcg	sarcoglycan, gamma
ILMN_1355990	1.47E-13	1.3E-15	-29.246077	26.135333	-2.16024545	Ube2m	ubiquitin-conjugating enzyme E2M
ILMN_1372951	1.47E-13	1.3E-15	-29.243549	26.133924	-3.46930442	Fblim1	filamin binding LIM protein 1
ILMN_1350494	1.49E-13	1.32E-15	-29.213481	26.117147	-3.37595971		
ILMN_1358274	1.49E-13	1.34E-15	-29.192313	26.105326	-1.92801872	Sf3b1	splicing factor 3b, subunit 1
ILMN_1351163	1.49E-13	1.34E-15	-29.190098	26.104088	-2.89287684	Ptcd3	Pentatricopeptide repeat domain 3
ILMN_1357390	1.51E-13	1.36E-15	-29.161146	26.087904	-2.66709226	Ptdss2	phosphatidylserine synthase 2
ILMN_1372355	1.53E-13	1.39E-15	-29.123216	26.066674	-2.06654886		
ILMN_1359982	1.55E-13	1.42E-15	-29.08416	26.044784	-1.58507979	Ccdc51	coiled-coil domain containing 51
ILMN_1371982	1.55E-13	1.42E-15	-29.082725	26.04398	-3.91185581	Cycs	cytochrome c, somatic
ILMN_1357555	1.57E-13	1.45E-15	-29.046566	26.023685	-3.13125524		
ILMN_1369659	1.61E-13	1.49E-15	-29.000016	25.997519	-2.30857686	Prickle3	prickle planar cell polarity protein 3
ILMN_1373829	1.61E-13	1.49E-15	-28.995051	25.994725	-2.00468006	Ermp1	endoplasmic reticulum metallopeptidase 1
ILMN_1354148	1.61E-13	1.5E-15	-28.979152	25.985777	-2.18616361	Ankh	ANKH inorganic pyrophosphate transport regulator
ILMN_1358109	1.62E-13	1.52E-15	-28.961726	25.975962	-2.1352327	Tomm22	translocase of outer mitochondrial membrane 22
ILMN_1360301	1.63E-13	1.54E-15	-28.937039	25.962049	-2.89964199		
ILMN_1359651	1.65E-13	1.57E-15	-28.905379	25.944186	-2.06302765	Kcnb1	potassium voltage-gated channel subfamily B member 1
ILMN_1361680	1.65E-13	1.57E-15	-28.896475	25.939158	-2.79059778	Trim28	tripartite motif-containing 28
ILMN_1352574	1.65E-13	1.58E-15	-28.888001	25.934372	-2.31724733	Commd4	COMM domain containing 4
ILMN_1357694	1.65E-13	1.58E-15	-28.887963	25.934351	-2.37165908	Dhx30	DEAH-box helicase 30
ILMN_1356568	1.66E-13	1.6E-15	-28.866815	25.9224	-2.9322205	Ndufa10l1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10-like 1
ILMN_1367242	1.68E-13	1.62E-15	-28.841096	25.907854	-2.46691161		
ILMN_1376869	1.73E-13	1.69E-15	-28.767484	25.866145	-2.05181621	Usp19	ubiquitin specific peptidase 19
ILMN_1361374	1.73E-13	1.7E-15	-28.758796	25.861215	-3.66391161	Tp53i3	tumor protein p53 inducible protein 3
ILMN_1349474	1.73E-13	1.71E-15	-28.747292	25.854685	-1.76377984		
ILMN_1370265	1.73E-13	1.71E-15	-28.744762	25.853248	-2.43917077	Ndufb5	NADH:ubiquinone oxidoreductase subunit B5
ILMN_1353251	1.73E-13	1.72E-15	-28.740408	25.850776	-2.11587056	Tep1	telomerase associated protein 1
ILMN_1650084	1.73E-13	1.73E-15	-28.725143	25.842104	-3.07929182		
ILMN_1350548	1.73E-13	1.73E-15	-28.722754	25.840746	-2.38422781	Neurl2	neuralized E3 ubiquitin protein ligase 2
ILMN_1360066	1.73E-13	1.74E-15	-28.716497	25.83719	-2.4934451	Mrps11	mitochondrial ribosomal protein S11
ILMN_1373237	1.73E-13	1.74E-15	-28.713132	25.835277	-2.17887379	Dars2	aspartyl-tRNA synthetase 2 (mitochondrial)
ILMN_1361937	1.74E-13	1.76E-15	-28.692014	25.823267	-2.68522785	Lta4h	leukotriene A4 hydrolase
ILMN_1355376	1.74E-13	1.77E-15	-28.688927	25.821511	-1.90337646		
ILMN_1350501	1.76E-13	1.79E-15	-28.66251	25.806472	-2.0283929	F8a1	coagulation factor VIII-associated 1
ILMN_1364585	1.82E-13	1.87E-15	-28.592281	25.766421	-1.25558429		
ILMN_1376602	1.82E-13	1.88E-15	-28.578219	25.75839	-1.45432383	Ankrd9	ankyrin repeat domain 9
ILMN_1361425	1.82E-13	1.89E-15	-28.572993	25.755404	-3.30275732	Gnpat	glyceronephosphate O-acyltransferase
ILMN_1357622	1.9E-13	1.97E-15	-28.493246	25.709768	-3.13821188	Capns1	calpain, small subunit 1
ILMN_1353269	1.95E-13	2.04E-15	-28.434903	25.676295	-2.57524893		
ILMN_1366325	1.95E-13	2.06E-15	-28.421397	25.668537	-1.81558157	Raver1	ribonucleoprotein, PTB-binding 1
ILMN_1357501	1.95E-13	2.06E-15	-28.421096	25.668363	-1.99949231	Pcm1	pericentriolar material 1
ILMN_1373354	1.97E-13	2.09E-15	-28.396283	25.654099	-2.98918327	Cox6a2	cytochrome c oxidase subunit 6A2
ILMN_1372988	1.97E-13	2.09E-15	-28.390187	25.650593	-5.09874259	Fhl2	four and a half LIM domains 2
